,January,February,March,April,May,June,July,August,September,October,November,December
Mother,Percent,,,,,,,,,,,
Initiation of prenatal care,,,,,,,,,,,,
Prenatal care beginning in the 1st trimester,,,,,,,,,,,,
20231,74.8,75.1,75.9,76.8,77,75.8,74.9,76.4,77,77.1,76.9,75.8
2022,76.8,76.8,77.2,77.9,78.1,77,75.4,76.3,77.4,77.7,77.1,76
2021,77.7,78.1,78.8,79.3,79.3,78.2,76.8,77.9,78.4,78.9,79,77.8
2020,76.7,77.1,77.7,78.5,78.9,77.9,76.9,78.2,78.6,77.3,76.9,78
2019,76.5,76.9,77.4,78.4,78.3,77.3,76.4,77.5,78.2,78.6,78.3,77.5
Late or no prenatal care4,,,,,,,,,,,,
20231,7.2,7,7.1,6.9,6.6,6.6,6.7,6.8,7.1,7.1,7.4,7.4
2022,6.7,6.5,6.6,6.7,6.5,6.5,6.6,6.7,7,7,7.1,7.1
2021,6.1,6,6,6.1,5.9,5.9,6.2,6.3,6.7,6.7,6.6,6.8
2020,6.3,6.2,6.4,6.4,5.9,5.7,5.9,6.1,6.3,6.4,6.4,6.2
2019,6.4,6.4,6.4,6.4,6.2,6.2,6.2,6.3,6.5,6.5,6.5,6.4
Adequacy of prenatal care utilization5,,,,,,,,,,,,
Adequate plus6,,,,,,,,,,,,
20231,33.4,34.3,35.2,35.8,35.5,35.8,34.9,35.1,34.6,34.8,34.7,34.4
2022,33.1,33.3,34.3,34.9,34.9,34.5,34.2,34,33.9,34.5,34.1,33.9
2021,33,33.2,34.3,35.2,35.1,34.7,34.9,34.8,34.3,34.2,34.4,34
2020,36,36.6,36.7,34.7,32.2,31.7,32.3,32.2,31.4,32.1,32.6,33.1
2019,34.9,35.9,36.7,37,36.9,36.9,37.3,37,36.1,36.8,37.1,36.5
Adequate7,,,,,,,,,,,,
20231,40.1,40.2,40.1,40.2,40.4,39.9,40.5,40.8,40.9,40.7,40.2,39.8
2022,40.7,41.1,41.1,41,40.8,40.9,40.6,41.1,41.2,40.7,40.2,39.9
2021,40.9,41.5,41.8,41.3,41.3,41.3,40.9,41.1,41.3,41.4,41,40.6
2020,39.9,39.9,40.4,41.5,42.5,42.4,41.7,42,41.9,41,40.8,41
2019,40.6,40.2,40.1,40.3,40.2,39.9,39.8,40.1,40.8,40.2,39.6,39.6
Less than adequate8,,,,,,,,,,,,
20231,26.5,25.5,24.7,24,24.1,24.3,24.6,24.1,24.5,24.5,25.1,25.8
2022,26.2,25.6,24.6,24.1,24.2,24.7,25.2,24.8,24.9,24.9,25.7,26.2
2021,26.1,25.2,23.9,23.5,23.6,24.1,24.2,24.1,24.4,24.4,24.7,25.4
2020,24,23.4,22.9,23.8,25.2,25.9,26,25.9,26.7,27,26.6,25.9
2019,24.5,24,23.1,22.7,22.9,23.2,22.9,22.9,23.2,23,23.3,23.8
Cesarean delivery (total),,,,,,,,,,,,
20231,32.2,32.2,32.4,31.8,32.4,32.8,32,32.6,32.2,32.5,32.6,32.6
2022,32,32.2,32.1,31.9,32.3,32.3,31.8,32.2,32,32.1,32.4,32.3
2021,31.5,32,32.2,32.2,31.6,32.3,32,32,32.2,31.9,32.5,32.5
2020,31.8,31.4,31.6,31.8,31.6,32,32.1,31.6,31.7,32,31.9,32
2019,32,31.6,31.3,31.8,31.7,31.4,31.9,31.5,31.2,31.8,31.7,32.1
Low-risk cesarean delivery9,,,,,,,,,,,,
20231,26.4,26.6,26.7,26.5,26.6,26.9,26.3,26.8,26.4,26.8,26.5,26.8
2022,26,26.3,26.4,26.4,26.6,26.5,26.1,26.3,26.1,26.3,26.4,26.6
2021,25.9,26.2,26.4,26.8,26.4,26.3,26.2,26.1,26.1,26.3,26.2,26.6
2020,25.5,25.4,25.7,26.1,26,26,26.1,26,25.8,26.2,25.9,25.9
2019,25.8,25.8,25.5,25.8,25.8,25.5,25.5,25.6,25,25.6,25.6,25.7
,,,,,,,,,,,,
Infant,,,,,,,,,,,,
Total preterm10,,,,,,,,,,,,
20231,10.49,10.2,10.33,10.48,10.39,10.74,10.35,10.26,10.14,10.28,10.4,10.85
2022,10.9,10.26,10.17,10.36,10.59,10.56,10.47,9.8,9.94,10.64,10.44,10.52
2021,11.01,10.45,10.22,10.59,10.5,10.44,10.42,10.49,10.12,10.44,10.41,10.83
2020,10.53,10.42,9.84,9.83,10.09,10.21,10.17,10.05,9.63,10.16,10,10.23
2019,10.24,10.19,10.31,10.14,10.28,10.52,10.31,10.06,9.66,10.14,10.48,10.48
Early preterm11,,,,,,,,,,,,
20231,2.77,2.64,2.72,2.86,2.84,2.82,2.75,2.73,2.71,2.66,2.8,2.84
2022,2.9,2.68,2.64,2.79,2.93,2.86,2.77,2.6,2.72,2.85,2.71,2.7
2021,3,2.8,2.72,2.82,2.89,2.78,2.78,2.81,2.69,2.81,2.78,2.89
2020,2.76,2.79,2.64,2.72,2.76,2.79,2.71,2.6,2.59,2.66,2.6,2.76
2019,2.72,2.76,2.83,2.78,2.83,2.94,2.78,2.65,2.65,2.7,2.86,2.77
Late preterm12,,,,,,,,,,,,
20231,7.72,7.56,7.61,7.62,7.56,7.91,7.6,7.53,7.42,7.62,7.6,8.01
2022,8.01,7.58,7.54,7.57,7.66,7.7,7.7,7.2,7.22,7.79,7.74,7.82
2021,8,7.65,7.49,7.77,7.61,7.66,7.64,7.67,7.43,7.63,7.63,7.94
2020,7.77,7.63,7.2,7.1,7.32,7.43,7.46,7.45,7.03,7.5,7.4,7.47
2019,7.52,7.43,7.48,7.36,7.45,7.58,7.52,7.41,7.01,7.44,7.62,7.71
Low birthweight13,,,,,,,,,,,,
20231,8.73,8.47,8.52,8.6,8.47,8.76,8.52,8.49,8.42,8.47,8.64,8.89
2022,9.01,8.48,8.39,8.54,8.76,8.74,8.59,8.18,8.33,8.83,8.74,8.69
2021,8.77,8.41,8.2,8.45,8.42,8.38,8.54,8.49,8.44,8.72,8.61,8.81
2020,8.56,8.4,8.15,8.16,8.18,8.25,8.35,8.14,7.96,8.27,8.17,8.34
2019,8.39,8.3,8.33,8.18,8.29,8.42,8.38,8.21,7.99,8.25,8.51,8.54
Very low birthweight14,,,,,,,,,,,,
20231,1.34,1.3,1.36,1.45,1.4,1.4,1.32,1.33,1.31,1.32,1.39,1.39
2022,1.41,1.3,1.31,1.37,1.47,1.4,1.36,1.29,1.37,1.41,1.35,1.31
2021,1.45,1.39,1.36,1.41,1.42,1.36,1.37,1.36,1.32,1.38,1.38,1.39
2020,1.36,1.4,1.34,1.35,1.42,1.38,1.35,1.28,1.27,1.29,1.27,1.36
2019,1.33,1.38,1.43,1.4,1.43,1.45,1.37,1.32,1.35,1.35,1.42,1.37